month,object_id,Awarded Value
2020_07,101.0,15381644.54
2020_07,102.0,13498780.77
2020_07,103.0,8939913.0
2020_07,104.0,21676553.97
2020_07,105.0,6677678.0
2020_07,108.0,24946273.51
2020_07,112.0,25851952.41
2020_07,134.0,40701971.54
2020_07,141.0,15788362.0
2020_07,145.0,0.0
2020_07,146.0,16096160.0
2020_07,155.0,4828486.38
2020_07,158.0,11390144.17
2020_07,161.0,13870279.7
2020_07,166.0,12785784.0
2020_07,185.0,21827278.06
2020_07,195.0,12306365.18
2020_07,204.0,11756938.2
2020_07,205.0,19892399.0
2020_07,231.0,17978338.92
2020_07,247.0,58615907.0
2020_07,270.0,15433750.09
