,Barpeta,0,0,0,0,,,,,,,
,Cachar,0,0,0,0,,,,,,,
,Charaideo,0,0,0,0,,,,,,,
,Chirang,0,0,0,0,,,,,,,
,Dhemaji,5650,4129,1521,0,,,,,,,
,Dhubri,15809,9353,6456,0,,,,,,,
,Dibrugarh,0,0,0,0,,,,,,,
,Goalpara,41372,25517,9230,6625,,,,,,,
,Golaghat,2325,1625,700,0,,,,,,,
,Hailakandi,0,0,0,0,,,,,,,
,Hojai,0,0,0,0,,,,,,,
,Kamrup,0,0,0,0,,,,,,,
,Kamrup (M),1000,600,400,0,,,,,,,
,Karimganj,0,0,0,0,,,,,,,
,Kokrajhar,0,0,0,0,,,,,,,
,Lakhimpur,0,0,0,0,,,,,,,
,Majuli,0,0,0,0,,,,,,,
,Morigaon,0,0,0,0,,,,,,,
,Nagaon,21028,10207,4451,6370,,,,,,,
,Nalbari,0,0,0,0,,,,,,,
,Sivasagar,35854,17110,11834,6910,,,,,,,
,Sonitpur,0,0,0,0,,,,,,,
,Tamulpur,0,0,0,0,,,,,,,
,Udalguri,0,0,0,0,,,,,,,
,Total,123038,68541,34592,19905,,,,,,,
,District,Total,Big,Small,Poultry,,,,,,,
,Barpeta,0,0,0,0,,,,,,,
,Cachar,0,0,0,0,,,,,,,
,Charaideo,0,0,0,0,,,,,,,
,Chirang,0,0,0,0,,,,,,,
,Dhemaji,0,0,0,0,,,,,,,
,Dhubri,0,0,0,0,,,,,,,
,Dibrugarh,0,0,0,0,,,,,,,
,Goalpara,0,0,0,0,,,,,,,
,Golaghat,0,0,0,0,,,,,,,
,Hailakandi,0,0,0,0,,,,,,,
,Hojai,0,0,0,0,,,,,,,
,Kamrup,0,0,0,0,,,,,,,
,Kamrup (M),0,0,0,0,,,,,,,
,Karimganj,0,0,0,0,,,,,,,
,Kokrajhar,0,0,0,0,,,,,,,
,Lakhimpur,0,0,0,0,,,,,,,
,Majuli,0,0,0,0,,,,,,,
,Morigaon,0,0,0,0,,,,,,,
,Nagaon,0,0,0,0,,,,,,,
,Nalbari,0,0,0,0,,,,,,,
,Sivasagar,4,0,4,0,,,,,,,
,Sonitpur,0,0,0,0,,,,,,,
,Tamulpur,0,0,0,0,,,,,,,
,Udalguri,0,0,0,0,,,,,,,
,Total,4,0,4,0,,,,,,,
