,Charaide o,223,247,142,612,26.5,,{},,,,,
,Dhemaji,1212,1140,239,2591,6,,{},,,,,
,Dhubri,0,0,0,0,0,,{},,,,,
,Dibrugarh,1603,1563,660,3826,975.5,,{},,,,,
,Golaghat,2350,2156,669,5175,1159.6,,{},,,,,
,Sivasagar,45,40,21,106,93,,{},,,,,
,Udalguri,0,0,0,0,0,,{},,,,,
,Total,5433,5146,1731,12310,2260.6,,,,,,,
,District,Total,Relief Camp,,,,Relief Distribution Centres,,,,,,
,Charaide o,0,"{'Sapekhati': 0, 'Mahmora': 0, 'Sonari': 0}",,,,"{'Sapekhati': 0, 'Mahmora': 0, 'Sonari': 0}",,,,,,
,Dhemaji,1,"{'Sissiborgaon': 0, 'Dhemaji': 0, 'Jonai': 1}",,,,"{'Sissiborgaon': 0, 'Dhemaji': 0, 'Jonai': 0}",,,,,,
,Dhubri,0,{'Dhubri': 0},,,,{'Dhubri': 0},,,,,,
,Dibrugarh,1,"{'Tengakhat': 0, 'Tingkhong': 0, 'Naharkatia': 1}",,,,"{'Tengakhat': 0, 'Tingkhong': 0, 'Naharkatia': 0}",,,,,,
,Golaghat,7,"{'Sarupathar': 1, 'Khumtai': 1, 'Golaghat': 1, 'Morongi': 1, 'Dergaon': 0, 'Bokakhat': 0}",,,,"{'Sarupathar': 1, 'Khumtai': 2, 'Golaghat': 0, 'Morongi': 0, 'Dergaon': 0, 'Bokakhat': 0}",,,,,,
,Sivasagar,0,"{'Demow': 0, 'Nazira': 0, 'Sivsagar': 0}",,,,"{'Demow': 0, 'Nazira': 0, 'Sivsagar': 0}",,,,,,
,Udalguri,0,{'Kalaigaon': 0},,,,{'Kalaigaon': 0},,,,,,
,Total,9,6,,,,3,,,,,,
