,Barpeta,164362,69146,50134,45082,,,,,,,
,Biswanat h,7358,4313,3045,0,,,,,,,
,Bongaiga on,0,0,0,0,,,,,,,
,Cachar,0,0,0,0,,,,,,,
,Charaide o,15622,5348,4224,6050,,,,,,,
,Chirang,1699,789,910,0,,,,,,,
,Darrang,83124,43589,24890,14645,,,,,,,
,Dhemaji,36864,27546,9318,0,,,,,,,
,Dhubri,316102,193338,12276 4,0,,,,,,,
,Dibrugar h,24729,18214,6515,0,,,,,,,
,Goalpara,84677,49499,23622,11556,,,,,,,
,Golaghat,27916,17649,10267,0,,,,,,,
,Hailakan di,492,181,81,230,,,,,,,
,Hojai,0,0,0,0,,,,,,,
,Jorhat,22412,15555,6857,0,,,,,,,
,Kamrup,217392,141010,75882,500,,,,,,,
,Kamrup (M),29066,14391,14675,0,,,,,,,
,Karimga nj,0,0,0,0,,,,,,,
,Kokrajha r,19813,12375,6638,800,,,,,,,
,Lakhimp ur,42605,27326,15279,0,,,,,,,
,Majuli,41299,26766,6313,8220,,,,,,,
,Morigao n,90364,27552,24447,38365,,,,,,,
,Nagaon,66587,40629,18791,7167,,,,,,,
,Nalbari,25044,16694,8350,0,,,,,,,
,Sivasagar,72921,45808,18967,8146,,,,,,,
,Sonitpur,23353,12833,10520,0,,,,,,,
,South Salmara,134433,82725,51708,0,,,,,,,
,Tinsukia,15192,10778,2300,2114,,,,,,,
,Udalguri,0,0,0,0,,,,,,,
,Total,1563426,904054,51649,142875,,,,,,,
