,Bajali,0,0,0,0,,,,,,,
,Barpeta,0,0,0,0,,,,,,,
,Biswanath,0,0,0,0,,,,,,,
,Bongaigao n,0,0,0,0,,,,,,,
,Cachar,0,0,0,0,,,,,,,
,Charaideo,0,0,0,0,,,,,,,
,Chirang,0,0,0,0,,,,,,,
,Darrang,0,0,0,0,,,,,,,
,Dhemaji,18228,13022,5206,0,,,,,,,
,Dhubri,31619,18706,12913,0,,,,,,,
,Dibrugarh,0,0,0,0,,,,,,,
,Goalpara,56318,35350,14094,6874,,,,,,,
,Golaghat,647,395,252,0,,,,,,,
,Hailakandi,0,0,0,0,,,,,,,
,Hojai,0,0,0,0,,,,,,,
,Jorhat,0,0,0,0,,,,,,,
,Kamrup,0,0,0,0,,,,,,,
,Kamrup (M),12000,7500,4500,0,,,,,,,
,Karimganj,0,0,0,0,,,,,,,
,Majuli,0,0,0,0,,,,,,,
,Morigaon,28739,9331,6956,12452,,,,,,,
,Nagaon,36450,20766,7864,7820,,,,,,,
,Nalbari,20685,13190,7495,0,,,,,,,
,Sivasagar,42962,22654,17654,2654,,,,,,,
,Sonitpur,0,0,0,0,,,,,,,
,Tinsukia,0,0,0,0,,,,,,,
,Total,247648,140914,76934,29800,,,,,,,
