state,district,ID,assam_dist,mean,count
ASSAM,DHUBRI,1,2011Dhub,-0.12545062813409805,1653
ASSAM,SOUTH SALMARA MANCACHAR,2,2019Sout,,0
ASSAM,MORIGAON,3,2011Mori,,0
ASSAM,TINSUKIA,4,2011Tins,-0.15259748397285025,69043
ASSAM,CHARAIDEO,5,2019Char,-0.17582113278001366,8417
ASSAM,GOLAGHAT,6,2011Gola,,0
ASSAM,DHEMAJI,7,2011Dhem,-0.13611642289819056,11896
ASSAM,K.ANGLONG,8,2011Karb,-0.14800910259308087,3923
ASSAM,KOKRAJHAR,9,2011Kokr,-0.14736229312577437,14528
ASSAM,BONGAIGAON,10,2011Bong,,0
ASSAM,NAGAON,11,2011Naga,-0.07498642436411328,10061
ASSAM,HAILAKANDI,12,2011Hail,-0.1998585152413265,18937
ASSAM,CHIRANG,13,2011Chir,,0
ASSAM,WEST KARBI ANGLONG,14,2019West,-0.16412448896898738,41338
ASSAM,LAKHIMPUR,15,2011Lakh,,0
ASSAM,GOALPARA,16,2011Goal,,0
ASSAM,CACHAR,17,2011Cach,-0.2075532884986593,61908
ASSAM,MAJULI,18,2019Maju,,0
ASSAM,NALBARI,19,2011Nalb,,0
ASSAM,DIMA HASAO,20,2011Dima,-0.23676891318354998,53544
ASSAM,UDALGURI,21,2011Udal,,0
ASSAM,JORHAT,22,2011Jorh,,0
ASSAM,HOJAI,23,2019Hoja,-0.1336712002504795,20074
ASSAM,BISWANATH,24,2019Bisw,,0
ASSAM,SONITPUR,25,2011Soni,,0
ASSAM,DARRANG,26,2011Darr,,0
ASSAM,DIBRUGARH,27,2011Dibr,-0.19002006459401152,34533
ASSAM,KARIMGANJ,28,2011Kari,-0.1800085537345189,32136
ASSAM,KAMRUP METRO,29,2011KamrM,,0
ASSAM,KAMRUP,30,2011Kamr,,0
ASSAM,SIVSAGAR,31,2011Siva,,0
ASSAM,BARPETA,32,2011Barp,,0
ASSAM,BAJALI,33,2022Baja,,0
ASSAM,TAMULPUR,34,2011Tamu,,0
ASSAM,BAKSA,35,2011Baks,,0
