object-id,district,rc-area,timeperiod,total-tender-awarded-value,sopd-tenders-awarded-value,sdrf-sanctions-awarded-value,sdrf-tenders-awarded-value,ridf-tenders-awarded-value,ltif-tenders-awarded-value,cidf-tenders-awarded-value,restoration-measures-tenders-awarded-value,immediate-measures-tenders-awarded-value,others-tenders-awarded-value,total-animal-washed-away,total-animal-affected,population-affected-total,crop-area,male-camp,female-camp,children-camp,total-house-fully-damaged,human-live-lost,human-live-lost-children,human-live-lost-female,human-live-lost-male,embankments-affected,roads,bridge,embankment-breached,max-rain,mean-rain,sum-rain,mean-ndvi,mean-ndbi,count,inundation-pct,inundation-intensity-mean,inundation-intensity-mean-nonzero,inundation-intensity-sum,riverlevel-mean,riverlevel-min,riverlevel-max,total-expenditure-value,sdrf-expenditure-value,immediate-measures-expenditure-value,others-expenditure-value,repair-and-restoration-expenditure-value,relief-camp-inmates,mean-sex-ratio,sum-aged-population,sum-young-population,sum-population,water,trees,flooded-vegetation,crops,built-area,bare-ground,clouds,rangeland,schools-count,health-centres-count,rail-length,rail-count,road-length,mean-cn,elevation-mean,slope-mean,revenue-ci,dtname,dtcode11,net-sown-area-in-hac,avg-electricity,avg-tele,rc-piped-hhds-pct,rc-nosanitation-hhds-pct,total-hhd,distance-from-river,drainage-density,exposure,flood-hazard,flood-hazard-float,government-response,financial-year,vulnerability,efficiency,topsis-score,risk-score
18-758-00257,SOUTH SALMARA MANCACHAR,249,2021_04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.25,54.86,0.3083779402496902,-0.0305271385112054,4437.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,21632.0,53810.0,355352.0,11.7868086097007,4.39016717315667,0.0059981837667335,53.2678986013328,18.7036792355881,7.3954669669953,0.0,4.44998122945988,568,34,0.0,0.0,45164.0,99.2489280072219,26.0,80.0,Mankachar,SOUTH SALMARA MANCACHAR,18-758,8639.65,10.4,2.0,6.53,24.68,152459.0,1193.33897215598,0.000541,4,5,1.8243156033645425,5,2021-2022,4,0.829466,0.8899095082878583,5
18-756-00249,BISWANATH,1042,2021_04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.14,136.12,0.3327494942894246,0.0292705822819629,18759.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,20388.0,36695.0,394178.0,7.3839826358736,22.1762789275075,0.197883771681801,41.1459084252795,14.428934047594,8.21405003299538,0.0,6.45296215906822,605,38,38820.0,10.0,269209.0,92.3701215611004,92.0,82.0,Biswanath,BISWANATH,18-756,22775.07,9.4,2.0,2.96,14.83,96019.0,1611.35359243029,0.000561,3,4,0.8632564542361711,5,2021-2022,5,0.784425,0.749157236152117,5
18-303-00121,BARPETA,513,2021_04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.16,72.02,0.1869042053289187,0.0234328298252498,9168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,18014.0,38220.0,326873.0,24.9719137623371,0.193335006670482,0.0,27.6097401135233,15.4419224222604,20.6318233214235,0.0,11.1512653737851,611,43,0.0,0.0,40648.0,123.012962962963,37.0,70.0,Baghbor,BARPETA,18-303,14991.58,3.9,2.0,0.13,17.13,76764.0,458.191524381396,0.00064,3,4,0.8253613301784058,5,2021-2022,5,0.76938,0.749157236152117,5
18-320-00206,CHIRANG,229,2021_04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.17,35.95,0.4123895251797331,-0.0142932579531307,4104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,5346.0,10921.0,116415.0,1.60882868487249,13.5678649236005,0.0399254306130598,51.762489945663,29.0167161355776,1.22758348748861,0.0,2.77659139218495,256,18,11019.0,3.0,184950.0,77.3113001215067,67.0,85.0,Sidli (Pt),CHIRANG,18-320,5331.33,9.3,3.0,2.62,12.65,31877.0,1084.82939317159,0.000637,1,5,0.982730422618214,5,2021-2022,4,0.831167,0.7444252244172778,5
18-316-00185,CACHAR,838,2021_04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.17,126.49,0.373445944060436,0.0138145002346594,14832.0,0.0,0.0,0.0,0.0,10.18462857142857,7.41,12.98,0.0,0.0,0.0,0.0,0.0,0.0,0.94,41662.0,74327.0,737687.0,5.57832935569304,41.4916258530488,0.416056921176256,33.3139958561104,15.2778411338846,0.0762463543211302,0.0,3.84590452576574,1064,71,42280.0,18.0,394329.0,79.7125716211662,68.0,87.0,Silchar,CACHAR,18-316,20596.63,10.1,3.0,8.53,10.35,182028.0,3479.87311656044,0.000509,5,4,0.8060488564872544,5,2021-2022,3,0.843519,0.7327453647931356,4
18-300-00103,KOKRAJHAR,304,2021_04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.18,50.0,0.376151267815474,0.0096311010283864,5460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,7303.0,14717.0,199774.0,2.0010739022126,4.22146490824773,0.0,66.3153914021466,23.685671666248,1.73479896834968,0.0,2.04159915279543,475,28,27800.0,8.0,155277.0,77.8102055800294,53.0,83.0,Dotoma,KOKRAJHAR,18-300,18388.485,9.2,2.0,1.87,20.09,39760.0,853.552863641768,0.000652,1,5,1.2115821719101925,5,2021-2022,3,0.845689,0.7184881327660786,4
18-300-00101,KOKRAJHAR,1069,2021_04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.17,166.25,0.3676035855066142,0.001126523773478,19191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,17667.0,34583.0,327338.0,1.55616045560989,38.8933578371476,0.0001830176391437,41.0713640680312,11.8218317503432,2.09428047722909,0.0,4.56282239399979,759,49,25232.0,9.0,197887.0,76.3699859162276,79.0,84.0,Gossaigaon (Pt),KOKRAJHAR,18-300,32583.05,6.1,2.0,0.95,20.16,62460.0,1718.76663843439,0.000542,2,4,0.7739659687569148,5,2021-2022,5,0.727241,0.7118399418157534,4
18-300-00104,KOKRAJHAR,990,2021_04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.19,173.33,0.4297824519568331,-0.0340137726166341,17788.0,0.0,0.0,0.0,0.0,40.35511111111112,40.32,40.49,0.0,0.0,0.0,0.0,0.0,0.0,0.94,18005.0,38421.0,338657.0,1.02071490539696,42.6008604948547,0.0173822660390084,36.5662548329501,13.4588373091547,2.05454438785921,0.0,4.2814058037455,717,32,34409.0,6.0,271905.0,75.6233839235526,106.0,86.0,Kokrajhar (Pt),KOKRAJHAR,18-300,21680.643,9.4,3.0,3.41,22.59,69360.0,1570.41582129684,0.000512,2,4,0.7834103190085715,5,2021-2022,5,0.782883,0.7118399418157534,4
18-302-00117,GOALPARA,478,2021_04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.18,77.73,0.3186552606510843,0.0710797287572534,8552.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,16465.0,39854.0,306146.0,6.02912409401303,21.1023362054828,0.0010209833807801,44.8433279279143,18.9374821463677,4.2592819880067,8.68922026195827e-05,4.82733976263222,550,36,19406.0,9.0,292277.0,90.6311724783524,48.0,84.0,Matia,GOALPARA,18-302,34621.5,8.3,2.0,2.41,13.32,69104.0,1188.42494264315,0.000584,2,4,0.7859243310614797,5,2021-2022,4,0.792103,0.6931354689200733,4
18-308-00151,DHEMAJI,746,2021_04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.17,114.16,0.2880310858062606,0.0426516753910877,13506.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,12281.0,24938.0,269039.0,4.34081472001362,5.80241596640079,0.291412001424458,63.9849632112175,16.0096984603572,5.28836123755412,0.0,4.28233440303242,739,27,50940.0,50.0,177743.0,83.3287002809404,108.0,82.0,Sissibargaon,DHEMAJI,18-308,36596.08,8.5,2.0,2.25,19.15,68758.0,1954.56742895141,0.000598,2,4,0.7660377893518217,5,2021-2022,4,0.797341,0.6931354689200733,4
